codigo,nome,X_i,a_direto,f_typeI_aberto,f_typeII_fechado,amplif_typeII_sobre_typeI,componente_direto,componente_indireto,componente_induzido,share_induzido,multiplicador_prod_typeII
3500,"Geração e distribuição de eletricidade e gás, água, esgoto e limpeza urbana",6069.04,0.07101617389241133,0.10670663235463966,0.15086523237718374,1.4138318213977825,0.07101617389241133,0.03569045846222833,0.044158600022544084,0.2927022967899028,1.9863485077610954
2500,"Fabricação de produtos de metal, máquinas e equipamentos",4561.2,0.07870735771288258,0.10278555341079615,0.14694415343334022,1.4296187407393561,0.07870735771288258,0.02407819569791357,0.04415860002254407,0.3005128070139666,1.8575368934008625
4500,Comércio por atacado e a varejo,24140.11,0.07659451427520421,0.10162786721907406,0.1457864672416182,1.4345127102525301,0.07659451427520421,0.025033352943869852,0.04415860002254414,0.3028991706710211,1.8572252674975727
1300,"Fabricação de produtos têxteis, artefatos do vestuário, couro e calçados",1286.46,0.07306873124698786,0.0976172033122784,0.14177580333482254,1.4523649369597318,0.07306873124698786,0.02454847206529054,0.04415860002254414,0.3114678173838853,1.815178179625223
5500,Alojamento e alimentação,4388.64,0.06813044587844981,0.09032636195565964,0.13448496197820378,1.4888783193130393,0.06813044587844981,0.022195916077209832,0.04415860002254414,0.3283534409572202,1.7869003614991217
4900,Transporte,11216.3,0.05251286074730527,0.08054078245875973,0.12469938248130387,1.5482762728951038,0.05251286074730527,0.028027921711454462,0.04415860002254414,0.35412043864102394,1.8209456891461449
0791,"Extração de minério de ferro, inclusive beneficiamentos e a aglomeração",8143.13,0.010929458328677057,0.07812637786967878,0.12228497789222294,1.565220111652998,0.010929458328677057,0.06719691954100172,0.04415860002254415,0.3611122214984065,2.288064014096977
5800,Serviço de informação,3599.0,0.026951931091969993,0.06866395719527332,0.11282255721781745,1.6431117842066916,0.026951931091969993,0.04171202610330333,0.044158600022544126,0.39139868047212106,2.0407842498809186
9080,"Atividades artísticas, criativas e de espetáculos",926.74,0.04747825711634331,0.06686854119108823,0.11102714121363236,1.660379293999452,0.04747825711634331,0.01939028407474492,0.044158600022544126,0.39772797479831135,1.6845108501344834
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",3608.41,0.048497814827029084,0.06583927068392756,0.10999787070647173,1.6707030555446902,0.048497814827029084,0.017341455856898474,0.04415860002254417,0.40144958933233327,1.707946103660331
2400,Metalurgia,11379.76,0.012214668850661173,0.06408995976664418,0.10824855978918832,1.6890096386911233,0.012214668850661173,0.05187529091598301,0.04415860002254414,0.4079370673248867,2.2716880398645505
6900,"Atividades profissionais, científicas e técnicas",3774.54,0.042654204220911686,0.06380304835639163,0.10796164837893577,1.6921079973465005,0.042654204220911686,0.02114884413547994,0.04415860002254414,0.4090211726626421,1.7810813885494339
8400,Administração Pública,11880.37,0.045537302289406806,0.05707096574856991,0.10122956577111404,1.7737489534886777,0.045537302289406806,0.011533663459163103,0.04415860002254413,0.43622235940821186,1.6493191295649494
0192,"Pecuária, inclusive o apoio à pecuária",2156.44,0.025041271725621858,0.0452240070805468,0.0893826071030909,1.9764415599859353,0.025041271725621858,0.020182735354924944,0.0441586000225441,0.49404018806044725,1.8279655662232068
