cnae,total_2013,total_2014,total_2015,com_cat_2013,com_cat_2014,com_cat_2015,tipico_2013,tipico_2014,tipico_2015,trajeto_2013,trajeto_2014,trajeto_2015,doenca_2013,doenca_2014,doenca_2015,sem_cat_2013,sem_cat_2014,sem_cat_2015
5821,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
5822,17,18,30,17,18,30,13,9,21,4,8,9,0,1,0,0,0,0
5829,0,2,2,0,2,2,0,1,2,0,1,0,0,0,0,0,0,0
5914,0,3,4,0,3,4,0,3,2,0,0,2,0,0,0,0,0,0
6010,3,2,0,3,2,0,1,1,0,2,1,0,0,0,0,0,0,0
6021,6,10,5,6,10,5,5,10,3,1,0,2,0,0,0,0,0,0
6110,5,12,7,5,12,7,3,10,6,2,2,1,0,0,0,0,0,0
6120,1,7,2,1,7,2,1,1,0,0,6,2,0,0,0,0,0,0
6141,7,4,0,6,4,0,5,3,0,1,1,0,0,0,0,1,0,0
6142,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
6190,9,16,14,8,16,14,4,10,11,4,6,3,0,0,0,1,0,0
6201,5,25,31,5,5,8,1,2,2,4,2,6,0,1,0,0,20,23
6202,1,3,1,0,3,1,0,1,1,0,2,0,0,0,0,1,0,0
6203,1,2,1,1,2,1,0,0,0,1,2,1,0,0,0,0,0,0
6204,4,4,6,4,4,6,3,1,2,1,3,4,0,0,0,0,0,0
6209,8,7,11,7,7,11,2,5,5,5,2,5,0,0,1,1,0,0
6311,0,6,5,0,5,2,0,2,0,0,3,2,0,0,0,0,1,3
6319,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0
6399,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
6421,2,6,11,2,6,11,1,2,8,1,1,2,0,3,1,0,0,0
6422,63,48,42,55,48,42,37,28,17,7,8,22,11,12,3,8,0,0
6423,8,11,9,7,11,9,2,3,5,2,6,3,3,2,1,1,0,0
6424,2,1,2,2,1,2,1,0,1,1,1,1,0,0,0,0,0,0
6433,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
6436,4,1,0,4,1,0,1,0,0,3,1,0,0,0,0,0,0,0
6462,5,3,6,5,3,6,5,1,4,0,2,2,0,0,0,0,0,0
6463,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6470,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6493,3,1,1,3,1,1,1,0,0,2,1,1,0,0,0,0,0,0
6512,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
6542,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6550,22,33,23,22,33,23,10,10,13,12,23,10,0,0,0,0,0,0
6613,1,5,0,1,5,0,0,3,0,1,2,0,0,0,0,0,0,0
6621,0,2,4,0,0,2,0,0,0,0,0,2,0,0,0,0,2,2
6622,2,1,1,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0
6810,62,19,7,59,19,7,55,15,7,2,4,0,2,0,0,3,0,0
6821,2,1,1,2,1,1,0,0,1,2,1,0,0,0,0,0,0,0
6822,12,13,6,12,13,6,5,9,4,7,4,2,0,0,0,0,0,0
6911,1,0,4,1,0,4,0,0,2,1,0,2,0,0,0,0,0,0
6912,2,2,0,2,2,0,1,0,0,1,2,0,0,0,0,0,0,0
6920,35,45,28,31,45,28,14,16,11,16,29,16,1,0,1,4,0,0
7010,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
7020,9,10,12,9,10,12,4,6,8,5,4,4,0,0,0,0,0,0
7111,1,3,1,1,3,1,1,3,1,0,0,0,0,0,0,0,0,0
7112,79,95,66,79,95,66,57,78,56,22,17,10,0,0,0,0,0,0
7119,39,11,18,37,11,18,31,5,12,6,6,6,0,0,0,2,0,0
